"","NIF","rendicionCuentasID","tipoYNombre","cumple2013","cumple2014","cumple2015"
"1","A02319127",82,"Ayuntamiento La Gineta","TRUE","TRUE",NA
"2","A02321768",69,"Ayuntamiento Casas de Lázaro","TRUE","TRUE","TRUE"
"3","A02322154",113,"Ayuntamiento Pozuelo","TRUE","TRUE","TRUE"
"4","A02373090",64,"Ayuntamiento Bogarra","TRUE","TRUE","TRUE"
"5","A02376549",129,"Ayuntamiento Villarrobledo","TRUE","TRUE",NA
"6","A02392058",72,"Ayuntamiento Caudete","TRUE","TRUE","TRUE"
"7","A03060191",215,"Ayuntamiento Jávea/Xàbia","TRUE","TRUE","TRUE"
"8","A03475001",199,"Ayuntamiento Elche/Elx","TRUE","TRUE","TRUE"
"9","A03513918",200,"Ayuntamiento Elda","TRUE","TRUE","TRUE"
"10","A03785599",175,"Ayuntamiento Benissa","TRUE","TRUE","TRUE"
"11","A03876448",251,"Ayuntamiento Salinas","TRUE","TRUE","TRUE"
"12","A03893435",229,"Ayuntamiento Onil","TRUE","TRUE",NA
"13","A03967718",210,"Ayuntamiento Guardamar del Segura","TRUE","TRUE","TRUE"
"14","A05204458",391,"Ayuntamiento Ávila","TRUE","TRUE","TRUE"
"15","A06015002",669,"Ayuntamiento Don Benito","TRUE","TRUE","TRUE"
"16","A06022131",781,"Ayuntamiento Villanueva de la Serena","TRUE","TRUE",NA
"17","A06100077",639,"Ayuntamiento Azuaga","TRUE",NA,NA
"18","A06108583",692,"Ayuntamiento Higuera la Real","TRUE","TRUE","TRUE"
"19","A06192603",688,"Ayuntamiento Herrera del Duque","TRUE",NA,NA
"20","A06412951",768,"Ayuntamiento Valencia del Mombuey","TRUE",NA,"TRUE"
"21","A06423743",684,"Ayuntamiento Granja de Torrehermosa","TRUE","TRUE","TRUE"
"22","A06452064",750,"Ayuntamiento Los Santos de Maimona","TRUE","TRUE","TRUE"
"23","A06453161",718,"Ayuntamiento Oliva de la Frontera","TRUE","TRUE",NA
"24","A07459324",794,"Ayuntamiento Alcúdia","TRUE","TRUE",NA
"25","A07802044",803,"Ayuntamiento Calvià","TRUE","TRUE","TRUE"
"26","A07850779",829,"Ayuntamiento Marratxí","TRUE","TRUE","TRUE"
"27","A09341090",1217,"Ayuntamiento Buniel","TRUE",NA,NA
"28","A09387101",1280,"Ayuntamiento Fuentelcésped","TRUE","TRUE",NA
"29","A09421728",1340,"Ayuntamiento Miranda de Ebro","TRUE","TRUE",NA
"30","A09467242",1485,"Ayuntamiento Valle de Tobalina","TRUE","TRUE","TRUE"
"31","A09520099",1218,"Ayuntamiento Burgos","TRUE","TRUE",NA
"32","A10157170",1575,"Ayuntamiento Cáceres","TRUE",NA,NA
"33","A11004082",1775,"Ayuntamiento Conil de la Frontera","TRUE","TRUE",NA
"34","A11219599",1795,"Ayuntamiento Tarifa","TRUE",NA,NA
"35","A11710084",1779,"Ayuntamiento Jerez de la Frontera","TRUE",NA,NA
"36","A12225728",1838,"Ayuntamiento Castellón de la Plana/Castelló de la Plana","TRUE",NA,NA
"37","A12357141",1874,"Ayuntamiento Morella","TRUE","TRUE","TRUE"
"38","A12565081",1810,"Ayuntamiento Almazora/Almassora","TRUE","TRUE","TRUE"
"39","A12662813",1826,"Ayuntamiento Benasal","TRUE","TRUE","TRUE"
"40","A12820312",1828,"Ayuntamiento Benicasim/Benicàssim","TRUE","TRUE","TRUE"
"41","A13348933",1976,"Ayuntamiento Daimiel","TRUE","TRUE","TRUE"
"42","A13497573",1991,"Ayuntamiento Manzanares","TRUE","TRUE",NA
"43","A15692890",2194,"Ayuntamiento Santiago de Compostela","TRUE","TRUE","TRUE"
"44","A16235152",2282,"Ayuntamiento Cuenca","TRUE","TRUE",NA
"45","A18445486",2691,"Ayuntamiento Atarfe","TRUE",NA,NA
"46","A18501791",2817,"Ayuntamiento Santa Fe","TRUE","TRUE",NA
"47","A19234277",2888,"Ayuntamiento Cabanillas del Campo","TRUE","TRUE",NA
"48","A22225510",3389,"Ayuntamiento Graus","TRUE","TRUE","TRUE"
"49","A22238513",3298,"Ayuntamiento Aínsa-Sobrarbe","TRUE","TRUE","TRUE"
"50","A22258271",3417,"Ayuntamiento Monzón","TRUE","TRUE",NA
"51","A22338495",3394,"Ayuntamiento Huesca","TRUE","TRUE","TRUE"
"52","A24275372",3605,"Ayuntamiento Bembibre","TRUE","TRUE",NA
"53","A24347379",3698,"Ayuntamiento La Pola de Gordón","TRUE","TRUE","TRUE"
"54","A24423774",3699,"Ayuntamiento Ponferrada","TRUE","TRUE",NA
"55","A24590838",3674,"Ayuntamiento León","TRUE","TRUE","TRUE"
"56","A26362145",4122,"Ayuntamiento Logroño","TRUE","TRUE","TRUE"
"57","A27299080",4235,"Ayuntamiento Lugo","TRUE","TRUE","TRUE"
"58","A28855153",4352,"Ayuntamiento Madrid","TRUE",NA,NA
"59","A30323968",4579,"Ayuntamiento Lorca","TRUE","TRUE","TRUE"
"60","A30714869",4570,"Ayuntamiento Cartagena","TRUE","TRUE",NA
"61","A32156507",4871,"Ayuntamiento Allariz","TRUE","TRUE","TRUE"
"62","A33004581",4998,"Ayuntamiento Mieres","TRUE","TRUE","TRUE"
"63","A33462201",4966,"Ayuntamiento Avilés","TRUE","TRUE","TRUE"
"64","A33896028",4986,"Ayuntamiento Gijón/Xixón","TRUE",NA,NA
"65","A35135789",5241,"Ayuntamiento La Oliva","TRUE","TRUE","TRUE"
"66","A35249671",5250,"Ayuntamiento Teguise","TRUE","TRUE",NA
"67","A35258268",5254,"Ayuntamiento Tías","TRUE","TRUE","TRUE"
"68","A35294032",5236,"Ayuntamiento Gáldar","TRUE","TRUE","TRUE"
"69","A35313089",5253,"Ayuntamiento Teror","TRUE","TRUE",NA
"70","A35454404",5235,"Ayuntamiento Firgas","TRUE","TRUE","TRUE"
"71","A35499292",5233,"Ayuntamiento Arucas","TRUE","TRUE","TRUE"
"72","A35660844",5243,"Ayuntamiento Las Palmas de Gran Canaria","TRUE","TRUE",NA
"73","A35728914",5259,"Ayuntamiento Vega de San Mateo","TRUE","TRUE","TRUE"
"74","A38078895",5723,"Ayuntamiento Santa Cruz de Tenerife","TRUE","TRUE","TRUE"
"75","A38228417",5712,"Ayuntamiento Puerto de la Cruz","TRUE","TRUE","TRUE"
"76","A38356135",5718,"Ayuntamiento San Cristóbal de La Laguna","TRUE","TRUE","TRUE"
"77","A38407631",5686,"Ayuntamiento Adeje","TRUE","TRUE",NA
"78","A38456323",5707,"Ayuntamiento Icod de los Vinos","TRUE","TRUE","TRUE"
"79","A38521464",5690,"Ayuntamiento Arico","TRUE","TRUE",NA
"80","A38716262",5691,"Ayuntamiento Arona","TRUE","TRUE",NA
"81","A38977922",5709,"Ayuntamiento La Matanza de Acentejo","TRUE","TRUE",NA
"82","A39446448",5797,"Ayuntamiento Reinosa","TRUE","TRUE","TRUE"
"83","A39601828",5814,"Ayuntamiento Santander","TRUE","TRUE","TRUE"
"84","A39760814",5808,"Ayuntamiento San Miguel de Aguayo","TRUE","TRUE","TRUE"
"85","A53331401",149,"Ayuntamiento Almoradí","TRUE","TRUE","TRUE"
"86","A53531323",257,"Ayuntamiento Sant Joan d'Alacant","TRUE","TRUE","TRUE"
"87","A53568184",152,"Ayuntamiento Altea","TRUE","TRUE","TRUE"
"88","A53952180",207,"Ayuntamiento Gata de Gorgos","TRUE","TRUE","TRUE"
"89","A57024549",826,"Ayuntamiento Manacor","TRUE","TRUE","TRUE"
"90","A57052169",796,"Ayuntamiento Andratx","TRUE","TRUE","TRUE"
"91","A57060105",834,"Ayuntamiento Palma","TRUE","TRUE",NA
"92","A57136467",824,"Ayuntamiento Llucmajor","TRUE","TRUE","TRUE"
"93","A57261281",812,"Ayuntamiento Eivissa","TRUE","TRUE",NA
"94","A57284440",856,"Ayuntamiento Son Servera","TRUE","TRUE","TRUE"
"95","A57424087",806,"Ayuntamiento Capdepera","TRUE","TRUE","TRUE"
"96","A57472276",845,"Ayuntamiento Sant Llorenç des Cardassar","TRUE","TRUE",NA
"97","A70006218",2145,"Ayuntamiento A Coruña","TRUE","TRUE",NA
"98","A73264285",4567,"Ayuntamiento Calasparra","TRUE","TRUE","TRUE"
"99","A79011847",4365,"Ayuntamiento Móstoles","TRUE","TRUE","TRUE"
"100","A79299269",4385,"Ayuntamiento Pozuelo de Alarcón","TRUE","TRUE",NA
"101","A79402038",4280,"Ayuntamiento Alcobendas","TRUE","TRUE","TRUE"
"102","A80327711",4353,"Ayuntamiento Majadahonda","TRUE","TRUE","TRUE"
"103","A80453863",4281,"Ayuntamiento Alcorcón","TRUE","TRUE","TRUE"
"104","A80689821",4401,"Ayuntamiento San Fernando de Henares","TRUE","TRUE",NA
"105","A80693021",4339,"Ayuntamiento Griñón","TRUE",NA,NA
"106","A81105355",4421,"Ayuntamiento Torrelodones","TRUE",NA,"TRUE"
"107","A81732414",4347,"Ayuntamiento Leganés","TRUE","TRUE",NA
"108","A81745457",4338,"Ayuntamiento Getafe","TRUE","TRUE","TRUE"
"109","A81755191",4295,"Ayuntamiento Boadilla del Monte","TRUE","TRUE","TRUE"
"110","A81763203",4448,"Ayuntamiento Villanueva del Pardillo","TRUE","TRUE",NA
"111","A81778243",4288,"Ayuntamiento Arganda del Rey","TRUE","TRUE","TRUE"
"112","A81799330",4383,"Ayuntamiento Pinto","TRUE",NA,"TRUE"
"113","A81855934",4346,"Ayuntamiento Humanes de Madrid","TRUE","TRUE","TRUE"
"114","A81941072",4431,"Ayuntamiento Valdemoro","TRUE","TRUE","TRUE"
"115","A82448176",4402,"Ayuntamiento San Lorenzo de El Escorial","TRUE","TRUE","TRUE"
"116","A82589557",4283,"Ayuntamiento Algete","TRUE","TRUE",NA
"117","A82913831",4287,"Ayuntamiento Aranjuez","TRUE","TRUE",NA
"118","A82963968",4394,"Ayuntamiento Rivas-Vaciamadrid","TRUE","TRUE","TRUE"
"119","A82971763",4424,"Ayuntamiento Tres Cantos","TRUE","TRUE","TRUE"
"120","A83109884",4418,"Ayuntamiento Torrejón de la Calzada","TRUE",NA,NA
"121","A83126706",4405,"Ayuntamiento San Sebastián de los Reyes","TRUE","TRUE","TRUE"
"122","A84115153",4441,"Ayuntamiento Villaconejos","TRUE",NA,NA
"123","A84116698",4398,"Ayuntamiento Las Rozas de Madrid","TRUE","TRUE",NA
"124","A84284454",4315,"Ayuntamiento Ciempozuelos","TRUE",NA,NA
"125","A84608462",4331,"Ayuntamiento Fuenlabrada","TRUE","TRUE",NA
"126","A85192995",4417,"Ayuntamiento Torrejón de Ardoz","TRUE","TRUE",NA
"127","A92121466",4536,"Ayuntamiento Ronda","TRUE",NA,NA
"128","A94000783",5303,"Ayuntamiento Pontevedra","TRUE","TRUE","TRUE"
"129","B02346302",50,"Ayuntamiento Albacete","TRUE","TRUE",NA
"130","B03144292",231,"Ayuntamiento Orihuela","TRUE",NA,NA
"131","B03277217",212,"Ayuntamiento Ibi","TRUE","TRUE","TRUE"
"132","B03832037",237,"Ayuntamiento Petrer","TRUE","TRUE","TRUE"
"133","B03860798",191,"Ayuntamiento Cocentaina","TRUE","TRUE",NA
"134","B05165394",561,"Ayuntamiento San Bartolomé de Pinares","TRUE","TRUE","TRUE"
"135","B06219729",708,"Ayuntamiento Mérida","TRUE","TRUE","TRUE"
"136","B06326029",651,"Ayuntamiento Calera de León","TRUE",NA,NA
"137","B06326458",685,"Ayuntamiento Guareña","TRUE","TRUE",NA
"138","B06365399",633,"Ayuntamiento Alconera","TRUE",NA,NA
"139","B07640014",825,"Ayuntamiento Maó","TRUE","TRUE","TRUE"
"140","B09349499",1277,"Ayuntamiento Frías","TRUE","TRUE","TRUE"
"141","B09445271",1416,"Ayuntamiento Roa","TRUE","TRUE",NA
"142","B09475609",1215,"Ayuntamiento Briviesca","TRUE","TRUE","TRUE"
"143","B09505975",1504,"Ayuntamiento Villagonzalo Pedernales","TRUE",NA,NA
"144","B10226447",1605,"Ayuntamiento Coria","TRUE","TRUE","TRUE"
"145","B12544722",1919,"Ayuntamiento La Vall d'Uixó","TRUE","TRUE",NA
"146","B12595724",1911,"Ayuntamiento La Torre d'En Besora","TRUE","TRUE","TRUE"
"147","B12678710",1837,"Ayuntamiento Castellnovo","TRUE","TRUE","TRUE"
"148","B12769469",1850,"Ayuntamiento Costur","TRUE","TRUE","TRUE"
"149","B12787396",1816,"Ayuntamiento Ares del Maestrat","TRUE","TRUE","TRUE"
"150","B12820155",1928,"Ayuntamiento Villahermosa del Río","TRUE","TRUE",NA
"151","B13211909",1941,"Ayuntamiento Alcázar de San Juan","TRUE","TRUE",NA
"152","B13413547",1972,"Ayuntamiento Ciudad Real","TRUE","TRUE","TRUE"
"153","B13503495",1992,"Ayuntamiento Membrilla","TRUE","TRUE","TRUE"
"154","B13518253",2009,"Ayuntamiento Puertollano","TRUE","TRUE","TRUE"
"155","B16218505",2251,"Ayuntamiento Campos del Paraíso","TRUE","TRUE","TRUE"
"156","B16235947",2390,"Ayuntamiento Talayuelas","TRUE","TRUE","TRUE"
"157","B19237338",2897,"Ayuntamiento El Casar","TRUE","TRUE","TRUE"
"158","B21182365",3264,"Ayuntamiento Moguer","TRUE","TRUE",NA
"159","B21248240",3221,"Ayuntamiento Aracena","TRUE","TRUE",NA
"160","B21261060",3267,"Ayuntamiento Niebla","TRUE","TRUE","TRUE"
"161","B22215263",3459,"Ayuntamiento Sariñena","TRUE","TRUE",NA
"162","B22215487",3340,"Ayuntamiento Benasque","TRUE","TRUE","TRUE"
"163","B22215651",3319,"Ayuntamiento Ansó","TRUE","TRUE","TRUE"
"164","B22216626",3483,"Ayuntamiento Valle de Hecho","TRUE","TRUE","TRUE"
"165","B22234033",3334,"Ayuntamiento Barbastro","TRUE","TRUE","TRUE"
"166","B22256697",3403,"Ayuntamiento Lalueza","TRUE","TRUE",NA
"167","B22269591",3450,"Ayuntamiento Sallent de Gállego","TRUE","TRUE","TRUE"
"168","B22280259",3355,"Ayuntamiento Campo","TRUE","TRUE",NA
"169","B22287312",3344,"Ayuntamiento Biescas","TRUE","TRUE","TRUE"
"170","B22297337",3382,"Ayuntamiento Fonz","TRUE","TRUE",NA
"171","B22307607",3460,"Ayuntamiento Secastilla","TRUE","TRUE","TRUE"
"172","B22308423",3388,"Ayuntamiento Grañén","TRUE",NA,"TRUE"
"173","B22314587",3310,"Ayuntamiento Alcubierre","TRUE",NA,NA
"174","B22349203",3350,"Ayuntamiento Boltaña","TRUE","TRUE","TRUE"
"175","B22358675",3390,"Ayuntamiento Gurrea de Gállego","TRUE","TRUE","TRUE"
"176","B22366330",3491,"Ayuntamiento Villanúa","TRUE","TRUE","TRUE"
"177","B22376651",3425,"Ayuntamiento Panticosa","TRUE","TRUE","TRUE"
"178","B26468876",4188,"Ayuntamiento Valgañón","TRUE","TRUE",NA
"179","B27237528",4272,"Ayuntamiento Viveiro","TRUE","TRUE","TRUE"
"180","B27240399",4227,"Ayuntamiento A Fonsagrada","TRUE","TRUE","TRUE"
"181","B29550936",4522,"Ayuntamiento Marbella","TRUE",NA,NA
"182","B30407811",4558,"Ayuntamiento Alcantarilla","TRUE","TRUE","TRUE"
"183","B30427181",4583,"Ayuntamiento Moratalla","TRUE",NA,NA
"184","B30459820",4573,"Ayuntamiento Cieza","TRUE","TRUE",NA
"185","B30515696",4572,"Ayuntamiento Ceutí","TRUE","TRUE",NA
"186","B30809362",4581,"Ayuntamiento Mazarrón","TRUE","TRUE","TRUE"
"187","B35326099",5228,"Ayuntamiento Agüimes","TRUE","TRUE","TRUE"
"188","B35398049",5258,"Ayuntamiento Valsequillo de Gran Canaria","TRUE","TRUE",NA
"189","B35426147",5249,"Ayuntamiento Santa María de Guía de Gran Canaria","TRUE","TRUE","TRUE"
"190","B35610757",5229,"Ayuntamiento La Aldea de San Nicolás","TRUE","TRUE","TRUE"
"191","B35636091",5247,"Ayuntamiento Santa Brígida","TRUE","TRUE","TRUE"
"192","B35640853",5238,"Ayuntamiento Ingenio","TRUE","TRUE","TRUE"
"193","B35739028",5246,"Ayuntamiento San Bartolomé de Tirajana","TRUE","TRUE","TRUE"
"194","B35779545",5256,"Ayuntamiento Tuineje","TRUE","TRUE",NA
"195","B35813278",5257,"Ayuntamiento Valleseco","TRUE",NA,NA
"196","B35886787",5248,"Ayuntamiento Santa Lucía de Tirajana","TRUE","TRUE",NA
"197","B35896893",5227,"Ayuntamiento Agaete","TRUE","TRUE","TRUE"
"198","B35928522",5239,"Ayuntamiento Mogán","TRUE","TRUE","TRUE"
"199","B36223741",5306,"Ayuntamiento Redondela","TRUE","TRUE","TRUE"
"200","B36401123",5312,"Ayuntamiento Sanxenxo","TRUE","TRUE",NA
"201","B36515740",5274,"Ayuntamiento Covelo","TRUE","TRUE",NA
"202","B37358298",5478,"Ayuntamiento Ledesma","TRUE","TRUE","TRUE"
"203","B37510013",5464,"Ayuntamiento Guijuelo","TRUE","TRUE","TRUE"
"204","B38352753",5726,"Ayuntamiento El Sauzal","TRUE","TRUE","TRUE"
"205","B38448064",5715,"Ayuntamiento Los Realejos","TRUE","TRUE","TRUE"
"206","B38693982",5693,"Ayuntamiento Breña Alta","TRUE",NA,"TRUE"
"207","B38776936",5725,"Ayuntamiento Santiago del Teide","TRUE","TRUE","TRUE"
"208","B38801320",5720,"Ayuntamiento San Miguel de Abona","TRUE","TRUE","TRUE"
"209","B38978946",5702,"Ayuntamiento Granadilla de Abona","TRUE","TRUE","TRUE"
